Twitter__	OpenTwitter__	pokaż twitty 	 o o
Twitter__	OpenTwitter__	pokaż posty na twitterze 	 o o o o
Twitter__	OpenTwitter__	pokaż twitty które napisałem 	 o o o o
Twitter__	OpenTwitter__	pokaż moje twitty 	 o o o
Twitter__	OpenTwitter__	pokaż moje posty na twitterze 	 o o o o o
Twitter__	OpenTwitter__	pokaż moje twitty które napisałem 	 o o o o o
Twitter__	OpenTwitter__	wyświetl twitty 	 o o
Twitter__	OpenTwitter__	wyświetl posty na twitterze 	 o o o o
Twitter__	OpenTwitter__	wyświetl twitty które napisałem 	 o o o o
Twitter__	OpenTwitter__	wyświetl moje twitty 	 o o o
Twitter__	OpenTwitter__	wyświetl moje posty na twitterze 	 o o o o o
Twitter__	OpenTwitter__	wyświetl moje twitty które napisałem 	 o o o o o
Twitter__	FollowUser__	obserwuj slonka17 	 o b-username
Twitter__	FollowUser__	zostań followersem kamil_miklaszew 	 o o b-username
Twitter__	FollowUser__	zacznij śledzić usiduspl 	 o o b-username
Twitter__	UnfollowUser__	przestań obserować pawelt_pl na twitterze 	 o o b-username o o
Twitter__	UnfollowUser__	przestań śledzić piotrus_pan9 na twitterze 	 o o b-username o o
Twitter__	SendMessage__	wiadomość o treści rząd stwierdził że przed koronawirusem uchronić nas mogą tylko czyste ręce 	 o o o b-message i-message i-message i-message i-message i-message i-message i-message i-message i-message i-message
Twitter__	SendMessage__	wiadomość na twitterze o treści kto wie może przed nami też piękne lata dwudzieste 	 o o o o o b-message i-message i-message i-message i-message i-message i-message i-message i-message
Twitter__	SendMessage__	pw o treści wobec bezczelnych kłamstw prezydenta putina i rosyjskiej propagandy potrzebne jest wspólne stanowisko polskich władz i opozycji 	 o o o b-message i-message i-message i-message i-message i-message i-message i-message i-message i-message i-message i-message i-message i-message i-message i-message
Twitter__	SendMessage__	pw na twitterze o treści tu nie ma miejsca i czasu na wewnętrzny spór 	 o o o o o b-message i-message i-message i-message i-message i-message i-message i-message i-message
Twitter__	SendMessage__	prywatną wiadomość o treści kobiety mają prawo decydować o swoim życiu i zdrowiu 	 o o o o b-message i-message i-message i-message i-message i-message i-message i-message i-message
Twitter__	SendMessage__	prywatną wiadomość na twitterze o treści dolepić śmierć jolanty brzeskiej do @andrzejduda to juz wyzszy stopień podłości 	 o o o o o o b-message i-message i-message i-message i-message i-message i-message i-message i-message i-message i-message
Twitter__	SendMessage__	wyślij wiadomość o treści najwyższy czas żeby skończyć z polską pogardy 	 o o o o b-message i-message i-message i-message i-message i-message i-message
Twitter__	SendMessage__	wyślij wiadomość na twitterze o treści istnieje przypuszczenie że rząd wie o przypadku #koronowirus o którym nie informuje opinii publicznej 	 o o o o o o b-message i-message i-message i-message i-message i-message i-message i-message i-message i-message i-message i-message i-message i-message
Twitter__	SendMessage__	wyślij pw o treści nadmierny strach przed #koronowirus i śmiercią to efekt rosnącej ateizacji 	 o o o o b-message i-message i-message i-message i-message i-message i-message i-message i-message i-message
Twitter__	SendMessage__	wyślij pw na twitterze o treści dawno się nie odzywałem wiadomo życie praca 	 o o o o o o b-message i-message i-message i-message i-message i-message i-message
Twitter__	SendMessage__	wyślij prywatną wiadomość o treści dobry artykuł do niedzielnej kawy dający szerszą perspektywę 	 o o o o o b-message i-message i-message i-message i-message i-message i-message i-message
Twitter__	SendMessage__	wyślij prywatną wiadomość na twitterze o treści rząd stwierdził że przed koronawirusem uchronić nas mogą tylko czyste ręce 	 o o o o o o o b-message i-message i-message i-message i-message i-message i-message i-message i-message i-message i-message
Twitter__	SendMessage__	napisz wiadomość o treści kto wie może przed nami też piękne lata dwudzieste 	 o o o o b-message i-message i-message i-message i-message i-message i-message i-message i-message
Twitter__	SendMessage__	napisz wiadomość na twitterze o treści wobec bezczelnych kłamstw prezydenta putina i rosyjskiej propagandy potrzebne jest wspólne stanowisko polskich władz i opozycji 	 o o o o o o b-message i-message i-message i-message i-message i-message i-message i-message i-message i-message i-message i-message i-message i-message i-message i-message
Twitter__	SendMessage__	napisz pw o treści tu nie ma miejsca i czasu na wewnętrzny spór 	 o o o o b-message i-message i-message i-message i-message i-message i-message i-message i-message
Twitter__	SendMessage__	napisz pw na twitterze o treści kobiety mają prawo decydować o swoim życiu i zdrowiu 	 o o o o o o b-message i-message i-message i-message i-message i-message i-message i-message i-message
Twitter__	SendMessage__	napisz prywatną wiadomość o treści dolepić śmierć jolanty brzeskiej do @andrzejduda to juz wyzszy stopień podłości 	 o o o o o b-message i-message i-message i-message i-message i-message i-message i-message i-message i-message i-message
Twitter__	SendMessage__	napisz prywatną wiadomość na twitterze o treści najwyższy czas żeby skończyć z polską pogardy 	 o o o o o o o b-message i-message i-message i-message i-message i-message i-message
Twitter__	SendMessageToUser__	wiadomość do xsassyxo o treści istnieje przypuszczenie że rząd wie o przypadku #koronowirus o którym nie informuje opinii publicznej 	 o o b-username o o b-message i-message i-message i-message i-message i-message i-message i-message i-message i-message i-message i-message i-message i-message
Twitter__	SendMessageToUser__	pw do conectum_pl o treści nadmierny strach przed #koronowirus i śmiercią to efekt rosnącej ateizacji 	 o o b-username o o b-message i-message i-message i-message i-message i-message i-message i-message i-message i-message
Twitter__	SendMessageToUser__	prywatną wiadomość do amilee110 o treści dawno się nie odzywałem wiadomo życie praca 	 o o o b-username o o b-message i-message i-message i-message i-message i-message i-message
Twitter__	SendMessageToUser__	wyślij wiadomość do emilyclaiborne o treści dobry artykuł do niedzielnej kawy dający szerszą perspektywę 	 o o o b-username o o b-message i-message i-message i-message i-message i-message i-message i-message
Twitter__	SendMessageToUser__	wyślij pw do kmore o treści rząd stwierdził że przed koronawirusem uchronić nas mogą tylko czyste ręce 	 o o o b-username o o b-message i-message i-message i-message i-message i-message i-message i-message i-message i-message i-message
Twitter__	SendMessageToUser__	wyślij prywatną wiadomość do myntmag o treści kto wie może przed nami też piękne lata dwudzieste 	 o o o o b-username o o b-message i-message i-message i-message i-message i-message i-message i-message i-message
Twitter__	SendMessageToUser__	napisz wiadomość do mikieee182 o treści wobec bezczelnych kłamstw prezydenta putina i rosyjskiej propagandy potrzebne jest wspólne stanowisko polskich władz i opozycji 	 o o o b-username o o b-message i-message i-message i-message i-message i-message i-message i-message i-message i-message i-message i-message i-message i-message i-message i-message
Twitter__	SendMessageToUser__	napisz pw do dirtysouth777 o treści tu nie ma miejsca i czasu na wewnętrzny spór 	 o o o b-username o o b-message i-message i-message i-message i-message i-message i-message i-message i-message
Twitter__	SendMessageToUser__	napisz prywatną wiadomość do ohsnapitscatie o treści kobiety mają prawo decydować o swoim życiu i zdrowiu 	 o o o o b-username o o b-message i-message i-message i-message i-message i-message i-message i-message i-message
Twitter__	ShowTwittsWithHashtag__	twitty z hashtagiem prawdziwaprezydent 	 o o o b-hashtag
Twitter__	ShowTwittsWithHashtag__	znajdź twitty z hashtagiem kosiniak2020 	 o o o o b-hashtag
Twitter__	ShowTwittsWithHashtag__	pokaż twitty z hashtagiem fitmarzec 	 o o o o b-hashtag
Twitter__	ShowTwittsWithHashtag__	wyświetl twitty z hashtagiem 1marca 	 o o o o b-hashtag
