Facebook__	OpenFacebook__	wyślij coś na facebooku 	 o o o o
Facebook__	OpenFacebook__	uploaduj coś na facebooku 	 o o o o
Facebook__	OpenFacebook__	dodaj coś na facebooku 	 o o o o
Facebook__	OpenFacebook__	umieść coś na facebooku 	 o o o o
Facebook__	OpenFacebook__	stwórz nowy post na facebooka 	 o o o o o
Facebook__	OpenFacebook__	zaktualizuj status na facebooku 	 o o o o
Facebook__	OpenFacebook__	zaktualizuj mój status na facebooku 	 o o o o o
Facebook__	PostStatus__	napisz so tired today na facebooku 	 o b-status i-status i-status o o
Facebook__	PostStatus__	umieść calm morning with my dog and coffee na facebooku 	 o b-status i-status i-status i-status i-status i-status i-status o o
Facebook__	PostStatus__	napisz na facebooku i am so happy right now 	 o o o b-status i-status i-status i-status i-status i-status
Facebook__	PostStatus__	napisz na facebooku że just bought two tickets to ibiza 	 o o o o b-status i-status i-status i-status i-status i-status
Facebook__	PostStatus__	umieść na facebooku so tired today 	 o o o b-status i-status i-status
Facebook__	PostStatus__	umieść na facebooku że calm morning with my dog and coffee 	 o o o o b-status i-status i-status i-status i-status i-status i-status
Facebook__	PostStatus__	zaktualizuaj facebooka i am so happy right now 	 o o b-status i-status i-status i-status i-status i-status
Facebook__	PostStatus__	zaktualizuaj facebooka o status just bought two tickets to ibiza 	 o o o o b-status i-status i-status i-status i-status i-status
Facebook__	PostStatus__	zaktualizuaj facebooka o status mówiący so tired today 	 o o o o o b-status i-status i-status
Facebook__	PostStatus__	zaktualizuaj mojego facebooka calm morning with my dog and coffee 	 o o o b-status i-status i-status i-status i-status i-status i-status
Facebook__	PostStatus__	zaktualizuaj mojego facebooka o status i am so happy right now 	 o o o o o b-status i-status i-status i-status i-status i-status
Facebook__	PostStatus__	zaktualizuaj mojego facebooka o status mówiący just bought two tickets to ibiza 	 o o o o o o b-status i-status i-status i-status i-status i-status
Facebook__	PostStatus__	updateuj facebooka so tired today 	 o o b-status i-status i-status
Facebook__	PostStatus__	updateuj facebooka o status calm morning with my dog and coffee 	 o o o o b-status i-status i-status i-status i-status i-status i-status
Facebook__	PostStatus__	updateuj facebooka o status mówiący i am so happy right now 	 o o o o o b-status i-status i-status i-status i-status i-status
Facebook__	PostStatus__	updateuj mojego facebooka just bought two tickets to ibiza 	 o o o b-status i-status i-status i-status i-status i-status
Facebook__	PostStatus__	updateuj mojego facebooka o status so tired today 	 o o o o o b-status i-status i-status
Facebook__	PostStatus__	updateuj mojego facebooka o status mówiący calm morning with my dog and coffee 	 o o o o o o b-status i-status i-status i-status i-status i-status i-status
Facebook__	PostStatus__	wyślij post że i am so happy right now 	 o o o b-status i-status i-status i-status i-status i-status
Facebook__	PostStatus__	wyślij post że just bought two tickets to ibiza na facebooku 	 o o o b-status i-status i-status i-status i-status i-status o o
Facebook__	PostStatus__	wyślij post który mówi so tired today 	 o o o o b-status i-status i-status
Facebook__	PostStatus__	wyślij post który mówi calm morning with my dog and coffee na facebooku 	 o o o o b-status i-status i-status i-status i-status i-status i-status o o
Facebook__	PostStatus__	wyślij post który mówi że i am so happy right now 	 o o o o o b-status i-status i-status i-status i-status i-status
Facebook__	PostStatus__	wyślij post który mówi że just bought two tickets to ibiza na facebooku 	 o o o o o b-status i-status i-status i-status i-status i-status o o
Facebook__	PostStatus__	wyślij post o treści so tired today 	 o o o o b-status i-status i-status
Facebook__	PostStatus__	wyślij post o treści calm morning with my dog and coffee na facebooku 	 o o o o b-status i-status i-status i-status i-status i-status i-status o o
Facebook__	PostStatus__	wyślij nowy post że i am so happy right now 	 o o o o b-status i-status i-status i-status i-status i-status
Facebook__	PostStatus__	wyślij nowy post że just bought two tickets to ibiza na facebooku 	 o o o o b-status i-status i-status i-status i-status i-status o o
Facebook__	PostStatus__	wyślij nowy post który mówi so tired today 	 o o o o o b-status i-status i-status
Facebook__	PostStatus__	wyślij nowy post który mówi calm morning with my dog and coffee na facebooku 	 o o o o o b-status i-status i-status i-status i-status i-status i-status o o
Facebook__	PostStatus__	wyślij nowy post który mówi że i am so happy right now 	 o o o o o o b-status i-status i-status i-status i-status i-status
Facebook__	PostStatus__	wyślij nowy post który mówi że just bought two tickets to ibiza na facebooku 	 o o o o o o b-status i-status i-status i-status i-status i-status o o
Facebook__	PostStatus__	wyślij nowy post o treści so tired today 	 o o o o o b-status i-status i-status
Facebook__	PostStatus__	wyślij nowy post o treści calm morning with my dog and coffee na facebooku 	 o o o o o b-status i-status i-status i-status i-status i-status i-status o o
Facebook__	PostStatus__	uploaduj post że i am so happy right now 	 o o o b-status i-status i-status i-status i-status i-status
Facebook__	PostStatus__	uploaduj post że just bought two tickets to ibiza na facebooku 	 o o o b-status i-status i-status i-status i-status i-status o o
Facebook__	PostStatus__	uploaduj post który mówi so tired today 	 o o o o b-status i-status i-status
Facebook__	PostStatus__	uploaduj post który mówi calm morning with my dog and coffee na facebooku 	 o o o o b-status i-status i-status i-status i-status i-status i-status o o
Facebook__	PostStatus__	uploaduj post który mówi że i am so happy right now 	 o o o o o b-status i-status i-status i-status i-status i-status
Facebook__	PostStatus__	uploaduj post który mówi że just bought two tickets to ibiza na facebooku 	 o o o o o b-status i-status i-status i-status i-status i-status o o
Facebook__	PostStatus__	uploaduj post o treści so tired today 	 o o o o b-status i-status i-status
Facebook__	PostStatus__	uploaduj post o treści calm morning with my dog and coffee na facebooku 	 o o o o b-status i-status i-status i-status i-status i-status i-status o o
Facebook__	PostStatus__	uploaduj nowy post że i am so happy right now 	 o o o o b-status i-status i-status i-status i-status i-status
Facebook__	PostStatus__	uploaduj nowy post że just bought two tickets to ibiza na facebooku 	 o o o o b-status i-status i-status i-status i-status i-status o o
Facebook__	PostStatus__	uploaduj nowy post który mówi so tired today 	 o o o o o b-status i-status i-status
