domain	intent	utterance	bio
Gdrive	OpenGdrive	muestra mis archivos de google drive	o o o o o o
Gdrive	OpenGdrive	muestra mis archivos en google drive	o o o o o o
Gdrive	OpenGdrive	muéstrame mis archivos de google drive	o o o o o o
Gdrive	OpenGdrive	muéstrame mis archivos en google drive	o o o o o o
Gdrive	OpenGdrive	enseña mis archivos de google drive	o o o o o o
Gdrive	OpenGdrive	enseña mis archivos en google drive	o o o o o o
Gdrive	OpenGdrive	enséñame mis archivos de google drive	o o o o o o
Gdrive	ShowFilesWithType	enseña mis archivos tsv en google drive	o o o b-mime_type o o o
Gdrive	ShowFilesWithType	enseña mis archivos mp4 en google drive	o o o b-mime_type o o o
Gdrive	ShowFilesWithType	enseña mis archivos wmv en google drive	o o o b-mime_type o o o
Gdrive	ShowFilesWithType	enseña mis archivos jpeg en google drive	o o o b-mime_type o o o
Gdrive	ShowFilesWithType	enseña mis archivos avi en google drive	o o o b-mime_type o o o
Gdrive	ShowFilesWithType	enseña mis archivos pptx en google drive	o o o b-mime_type o o o
Gdrive	ShowFilesWithType	enseña mis archivos mp3 en google drive	o o o b-mime_type o o o
Gdrive	ShowFilesWithType	enseña mis archivos txt en google drive	o o o b-mime_type o o o
Gdrive	ShowFilesWithType	enseña mis archivos txt en google drive	o o o b-mime_type o o o
Gdrive	ShowFilesWithType	enseña mis archivos doc en google drive	o o o b-mime_type o o o
Gdrive	ShowFilesWithType	enseña mis archivos docx en google drive	o o o b-mime_type o o o
Gdrive	ShowFilesWithType	enseña mis archivos gif en google drive	o o o b-mime_type o o o
Gdrive	ShowFilesWithType	enseña mis archivos csv en google drive	o o o b-mime_type o o o
Gdrive	ShowFilesWithType	enseña mis archivos de google drive de tipo png	o o o o o o o o b-mime_type
Gdrive	ShowFilesWithType	enseña mis archivos de google drive de tipo tsv	o o o o o o o o b-mime_type
Gdrive	ShowFilesWithType	enseña mis archivos de google drive de tipo mp4	o o o o o o o o b-mime_type
Gdrive	ShowFilesWithType	enseña mis archivos de google drive de tipo wmv	o o o o o o o o b-mime_type
Gdrive	ShowFilesWithType	enseña mis archivos de google drive de tipo jpeg	o o o o o o o o b-mime_type
Gdrive	ShowFilesWithType	enseña mis archivos de google drive de tipo avi	o o o o o o o o b-mime_type
Gdrive	ShowFilesWithType	enseña mis archivos de google drive de tipo pptx	o o o o o o o o b-mime_type
Gdrive	ShowFilesWithType	enseña mis archivos de google drive de tipo mp3	o o o o o o o o b-mime_type
Gdrive	ShowFilesWithType	enseña mis archivos de google drive de tipo txt	o o o o o o o o b-mime_type
